feature,type,frequency,selection_count,median_coef,mean_coef,std_coef,q25,q75,abs_median_coef,importance_score
gene_PRR5,Gene,0.2,3,-0.1425436023107498,-0.18292665295470903,0.0640435188405961,-0.20793525388909098,-0.13772652669834745,0.1425436023107498,0.028508720462149962
gene_CCND1,Gene,0.2,3,-0.13643660947566388,-0.11063022298640911,0.08143366830693455,-0.16568142432203595,-0.06848221489540963,0.13643660947566388,0.027287321895132777
gene_MAPK11,Gene,0.13333333333333333,2,-0.20399370605163056,-0.20399370605163056,0.03291868265528572,-0.2204530473792734,-0.1875343647239877,0.20399370605163056,0.027199160806884073
gene_MAP2K2,Gene,0.6666666666666666,10,-0.03640367819657883,-0.07451825729906617,0.06691519165036698,-0.12464298213065036,-0.020020713030149774,0.03640367819657883,0.02426911879771922
gene_MDM2,Gene,0.2,3,-0.11558174134212582,-0.08430564889728452,0.04818395170320367,-0.11833962162527506,-0.06590972239171461,0.11558174134212582,0.023116348268425166
gene_LAMA4,Gene,0.2,3,0.11531533911354111,0.09972396987862055,0.04978277086150624,0.07389317146830195,0.13335045290639944,0.11531533911354111,0.023063067822708224
gene_PCK1,Gene,0.3333333333333333,5,0.06395228578499156,0.06495870031576365,0.033427557300569136,0.056039078514555925,0.07350209360306596,0.06395228578499156,0.021317428594997183
gene_DDB2,Gene,0.5333333333333333,8,-0.03850241133852039,-0.05315571445365815,0.05349367607445386,-0.07696591206080303,-0.00969487021490246,0.03850241133852039,0.020534619380544208
gene_TLE2,Gene,0.4,6,-0.04631060491745595,-0.04312935416632832,0.018433984917738105,-0.054534218451002064,-0.02929683816769352,0.04631060491745595,0.01852424196698238
gene_SERPINF1,Gene,0.06666666666666667,1,-0.2641438715225593,-0.2641438715225593,0.0,-0.2641438715225593,-0.2641438715225593,0.2641438715225593,0.017609591434837285
primary_diagnosis_Carcinoma,Clinical,0.13333333333333333,2,0.13129148186147835,0.13129148186147835,0.02192953174078168,0.12032671599108752,0.1422562477318692,0.13129148186147835,0.01750553091486378
gene_IFNA4,Gene,0.4666666666666667,7,0.03634068858378308,0.08656910341265697,0.08485654088690336,0.014390828565546613,0.15812793100665232,0.03634068858378308,0.016958988005765438
gene_PPP2R2C,Gene,0.13333333333333333,2,-0.1244903231280939,-0.1244903231280939,0.004037464100574942,-0.12650905517838137,-0.12247159107780642,0.1244903231280939,0.01659870975041252
gene_RPRM,Gene,0.13333333333333333,2,0.12087293245800265,0.12087293245800265,0.03429306545992106,0.10372639972804212,0.13801946518796318,0.12087293245800265,0.016116390994400355
gene_ATM,Gene,0.06666666666666667,1,0.233965459317778,0.233965459317778,0.0,0.233965459317778,0.233965459317778,0.233965459317778,0.015597697287851868
gene_SLC38A9,Gene,0.13333333333333333,2,-0.11679086334405914,-0.11679086334405914,0.00909667396831227,-0.12133920032821527,-0.11224252635990299,0.11679086334405914,0.015572115112541219
gene_CCDC88C,Gene,0.2,3,-0.07764017652579987,-0.08127260624417489,0.044552635404263116,-0.1076019274420856,-0.053127070187076665,0.07764017652579987,0.015528035305159974
gene_GH2,Gene,0.13333333333333333,2,0.11595042293043209,0.11595042293043209,0.04218664131588734,0.09485710227248842,0.13704374358837576,0.11595042293043209,0.015460056390724279
primary_diagnosis_Serous,Clinical,0.13333333333333333,2,-0.1144972234112697,-0.1144972234112697,0.01285296650071837,-0.12092370666162888,-0.10807074016091052,0.1144972234112697,0.01526629645483596
gene_SERPINB5,Gene,0.13333333333333333,2,0.11034704602089555,0.11034704602089555,0.10589240293482717,0.05740084455348196,0.16329324748830915,0.11034704602089555,0.01471293946945274
gene_RASD1,Gene,0.13333333333333333,2,-0.10865040292963549,-0.10865040292963549,0.0541349900981786,-0.1357178979787248,-0.08158290788054619,0.10865040292963549,0.014486720390618065
gene_RFC2,Gene,0.13333333333333333,2,0.10734006647490593,0.10734006647490593,0.024409035735234452,0.0951355486072887,0.11954458434252316,0.10734006647490593,0.014312008863320791
gene_STK11,Gene,0.26666666666666666,4,-0.05308409181650983,-0.10146055049691202,0.11887189498738292,-0.1404680227512807,-0.014076619562141155,0.05308409181650983,0.014155757817735955
gene_DUSP9,Gene,0.13333333333333333,2,-0.10442122489785156,-0.10442122489785156,0.0010731275863404277,-0.10495778869102178,-0.10388466110468135,0.10442122489785156,0.013922829986380208
